activity_id,molecule_chembl_id,target_chembl_id,assay_chembl_id,standard_type,standard_relation,standard_value,standard_units,pchembl_value,data_validity_comment,potential_duplicate
50668,CHEMBL69629,CHEMBL203,CHEMBL674637,IC50,=,6.5,nM,8.19,,0
50671,CHEMBL69629,CHEMBL203,CHEMBL621151,IC50,=,40.0,nM,7.40,,0
50673,CHEMBL69629,CHEMBL203,CHEMBL615325,IC50,=,2050.0,nM,5.69,,0
51141,CHEMBL136492,CHEMBL203,CHEMBL677833,IC50,=,8400.0,nM,5.08,,0
51244,CHEMBL77197,CHEMBL203,CHEMBL674643,IC50,=,1100000.0,nM,,Outside typical range,0
51249,CHEMBL305695,CHEMBL203,CHEMBL674643,IC50,=,560000.0,nM,,Outside typical range,0
51818,CHEMBL68258,CHEMBL203,CHEMBL674637,IC50,>,20000.0,nM,,,0
52474,CHEMBL76587,CHEMBL203,CHEMBL674643,IC50,=,6500000.0,nM,,Outside typical range,0
52480,CHEMBL77456,CHEMBL203,CHEMBL674643,IC50,>,1250000.0,nM,,Outside typical range,0
53212,CHEMBL66570,CHEMBL203,CHEMBL674637,IC50,=,13.0,nM,7.89,,0
53215,CHEMBL66570,CHEMBL203,CHEMBL621151,IC50,=,200.0,nM,6.70,,0
53217,CHEMBL66570,CHEMBL203,CHEMBL615325,IC50,=,7500.0,nM,5.12,,0
53758,CHEMBL308048,CHEMBL203,CHEMBL674643,IC50,=,800000.0,nM,,Outside typical range,0
53761,CHEMBL311119,CHEMBL203,CHEMBL674643,IC50,=,60000.0,nM,4.22,,0
53763,CHEMBL76905,CHEMBL203,CHEMBL674643,IC50,=,37000.0,nM,4.43,,0
53765,CHEMBL77524,CHEMBL203,CHEMBL674643,IC50,=,833000.0,nM,,Outside typical range,0
54402,CHEMBL305194,CHEMBL203,CHEMBL674637,IC50,=,29.0,nM,7.54,,0
54405,CHEMBL305194,CHEMBL203,CHEMBL621151,IC50,>,5000.0,nM,,,0
54407,CHEMBL305194,CHEMBL203,CHEMBL615325,IC50,>,50000.0,nM,,,0
54979,CHEMBL307250,CHEMBL203,CHEMBL674643,IC50,=,325000.0,nM,,Outside typical range,0
54990,CHEMBL80155,CHEMBL203,CHEMBL674643,IC50,=,6000.0,nM,5.22,,0
56107,CHEMBL343352,CHEMBL203,CHEMBL677833,IC50,=,200.0,nM,6.70,,0
57335,CHEMBL52765,CHEMBL203,CHEMBL677833,IC50,=,44.0,nM,7.36,,0
57442,CHEMBL77436,CHEMBL203,CHEMBL674644,IC50,,,nM,,,0
57444,CHEMBL311564,CHEMBL203,CHEMBL674643,IC50,=,450000.0,nM,,Outside typical range,0
57445,CHEMBL76642,CHEMBL203,CHEMBL674643,IC50,=,75000.0,nM,4.12,,0
58119,CHEMBL308645,CHEMBL203,CHEMBL674637,IC50,=,4.7,nM,8.33,,0
58122,CHEMBL67003,CHEMBL203,CHEMBL674637,IC50,=,1.8,nM,8.74,,0
58125,CHEMBL67003,CHEMBL203,CHEMBL621151,IC50,=,100.0,nM,7.00,,0
58127,CHEMBL67003,CHEMBL203,CHEMBL615490,IC50,,,nM,,,0
58604,CHEMBL307248,CHEMBL203,CHEMBL674643,IC50,=,640000.0,nM,,Outside typical range,0
60010,CHEMBL310958,CHEMBL203,CHEMBL674643,IC50,=,225000.0,nM,,Outside typical range,0
60019,CHEMBL78005,CHEMBL203,CHEMBL674643,IC50,=,350000.0,nM,,Outside typical range,0
61241,CHEMBL134312,CHEMBL203,CHEMBL677833,IC50,=,11.0,nM,7.96,,0
61373,CHEMBL77243,CHEMBL203,CHEMBL674643,IC50,=,55000.0,nM,4.26,,0
61374,CHEMBL80745,CHEMBL203,CHEMBL674643,IC50,=,1200.0,nM,5.92,,0
61378,CHEMBL77778,CHEMBL203,CHEMBL674643,IC50,=,450000.0,nM,,Outside typical range,0
62047,CHEMBL305246,CHEMBL203,CHEMBL674637,IC50,=,2.8,nM,8.55,,0
62050,CHEMBL305246,CHEMBL203,CHEMBL621151,IC50,=,100.0,nM,7.00,,0
